Strain_ID	AC_group	CAS-LB halo dia (mm)	OST_quant 10% TSA + 1.0M Sorbitol	Sid_DvW Pos-554 Desferrioxamine D4	Sid_DvW Pos-38266 O-methyl desferrioxamine H	Sid_DvW Pos-47384 Ferrioxamine E-F	Sid_DvW Pos-6671 Ferrioxamine E-F	Iron	Siderophore	Glycerol-3-phosphate	Trk	Kdp	OmpR	FabG	ProP
DC01	AC2	7	145.8	-0.09669626	0.922449733	1.807091354	2.332267625	5	8	43	3	15	3	6	14
DC03	AC2	7	122.6	-0.213182842	-0.015954573	-0.657509768	0.701171661	5	9	41	3	14	2	6	12
DC04	AC2	8	93.5	0.102329017	-0.273367571	-0.289342253	-0.19404137	5	9	40	3	14	2	5	13
DC10	AC5	5	52.6	0.009755844	0.19290647	0	1.609232114	3	6	54	3	18	3	7	16
DC13	AC5	0	46.3	-0.018315841	-0.280834159	0	-0.420706248	3	5	55	3	17	3	6	14
DC14	AC5	3	44.7	-0.183457167	1.598842805	-0.477318786	-0.562131971	3	5	56	3	16	3	5	16
DC17	AC6	5	61.1	-0.0003653	-0.316720988	-0.020277258	-0.098302086	3	7	47	5	15	2	6	17
DC18	AC6	6	27.4	-0.064878768	-0.193452607	-0.578422669	-0.302704703	3	7	47	5	14	2	6	18
DC20	AC6	9	36.6	-0.082616363	-0.426918618	-0.142976252	-0.086671284	2	6	46	5	14	2	6	19
DC25	AC8	9	32.3	0.247498851	-0.128847848	-0.225875131	0.215764734	3	6	46	5	14	2	5	19
DC27	AC8	7	36.2	0.160913381	0.058843733	-0.514843443	0.208370509	3	8	47	5	13	2	6	17
DC28	AC8	10.3	17.7	0.210449896	-0.532199658	-0.113846284	0.37559424	3	5	42	4	13	2	5	14
