Sample_ID	Timepoint	Variety	Plot	Treatment	SampleType	Replicate	Group
DC1_fastq	TP8	RTx430	6	Drought	Rhizosphere	1	TP8_Drought_Rhizosphere
DC2_fastq	TP8	RTx430	2	Control	Rhizosphere	1	TP8_Control_Rhizosphere
DC3_fastq	TP8	RTx430	11	Control	Rhizosphere	2	TP8_Control_Rhizosphere
DC4_fastq	TP8	RTx430	13	Drought	Rhizosphere	2	TP8_Drought_Rhizosphere
DC5_fastq	TP8	RTx430	18	Drought	Rhizosphere	3	TP8_Drought_Rhizosphere
DC6_fastq	TP8	RTx430	19	Control	Rhizosphere	3	TP8_Control_Rhizosphere
DC7_fastq	TP8	RTx430	2	Control	Soil	1	TP8_Control_Soil
DC8_fastq	TP8	RTx430	6	Drought	Soil	1	TP8_Drought_Soil
DC9_fastq	TP8	RTx430	11	Control	Soil	2	TP8_Control_Soil
DC10_fastq	TP8	RTx430	13	Drought	Soil	2	TP8_Drought_Soil
DC11_fastq	TP8	RTx430	18	Drought	Soil	3	TP8_Drought_Soil
DC12_fastq	TP8	RTx430	19	Control	Soil	3	TP8_Control_Soil
DC13_fastq	TP8	RTx430	2	Control	Root	1	TP8_Control_Root
DC14_fastq	TP8	RTx430	6	Drought	Root	1	TP8_Drought_Root
DC15_fastq	TP8	RTx430	11	Control	Root	2	TP8_Control_Root
DC16_fastq	TP8	RTx430	13	Drought	Root	2	TP8_Drought_Root
DC17_fastq	TP8	RTx430	18	Drought	Root	3	TP8_Drought_Root
DC18_fastq	TP8	RTx430	19	Control	Root	3	TP8_Control_Root
DC19_fastq	TP8_24h	RTx430	2	Control	Rhizosphere	1	24h_Control_Rhizosphere
DC20_fastq	TP8_24h	RTx430	6	Drought	Rhizosphere	1	24h_Watered_Rhizosphere
DC21_fastq	TP8_24h	RTx430	11	Control	Rhizosphere	2	24h_Control_Rhizosphere
DC22_fastq	TP8_24h	RTx430	13	Drought	Rhizosphere	2	24h_Watered_Rhizosphere
DC23_fastq	TP8_24h	RTx430	18	Drought	Rhizosphere	3	24h_Watered_Rhizosphere
DC24_fastq	TP8_24h	RTx430	19	Control	Rhizosphere	3	24h_Control_Rhizosphere
DC25_fastq	TP8_24h	RTx430	2	Control	Soil	1	24h_Control_Soil
DC26_fastq	TP8_24h	RTx430	6	Drought	Soil	1	24h_Watered_Soil
DC27_fastq	TP8_24h	RTx430	11	Control	Soil	2	24h_Control_Soil
DC28_fastq	TP8_24h	RTx430	13	Drought	Soil	2	24h_Watered_Soil
DC29_fastq	TP8_24h	RTx430	2	Control	Root	1	24h_Control_Root
DC30_fastq	TP8_24h	RTx430	6	Drought	Root	1	24h_Watered_Root
DC31_fastq	TP8_24h	RTx430	11	Control	Root	2	24h_Control_Root
DC32_fastq	TP8_24h	RTx430	13	Drought	Root	2	24h_Watered_Root
DC33_fastq	TP8_24h	RTx430	18	Drought	Root	3	24h_Watered_Root
DC34_fastq	TP8_24h	RTx430	19	Control	Root	3	24h_Control_Root
DC35_fastq	TP8_24h	RTx430	18	Drought	Soil	3	24h_Watered_Soil
DC36_fastq	TP8_24h	RTx430	19	Control	Soil	3	24h_Control_Soil
TP8_24h_S11_fastq	TP8_24h	RTx430	11	Control	Soil	4	24h_Control_Soil
TP8_24h_S13_fastq	TP8_24h	RTx430	13	Drought	Soil	5	24h_Watered_Soil
TP8_24h_S19_fastq	TP8_24h	RTx430	19	Control	Soil	5	24h_Control_Soil
TP8_24h_S6_fastq	TP8_24h	RTx430	6	Drought	Soil	4	24h_Watered_Soil
TP8_24h_Z11_fastq	TP8_24h	RTx430	11	Control	Rhizosphere	4	24h_Control_Rhizosphere
TP8_24h_Z13_fastq	TP8_24h	RTx430	13	Drought	Rhizosphere	5	24h_Watered_Rhizosphere
TP8_24h_Z19_fastq	TP8_24h	RTx430	19	Control	Rhizosphere	5	24h_Control_Rhizosphere
TP8_24h_Z6_fastq	TP8_24h	RTx430	6	Drought	Rhizosphere	4	24h_Watered_Rhizosphere
TP8_S11_fastq	TP8	RTx430	11	Control	Soil	4	TP8_Control_Soil
TP8_S13_fastq	TP8	RTx430	13	Drought	Soil	5	TP8_Drought_Soil
TP8_S19_fastq	TP8	RTx430	19	Control	Soil	5	TP8_Control_Soil
TP8_S6_fastq	TP8	RTx430	6	Drought	Soil	4	TP8_Drought_Soil
TP8_Z11_fastq	TP8	RTx430	11	Control	Rhizosphere	4	TP8_Control_Rhizosphere
TP8_Z13_fastq	TP8	RTx430	13	Drought	Rhizosphere	5	TP8_Drought_Rhizosphere
TP8_Z19_fastq	TP8	RTx430	19	Control	Rhizosphere	5	TP8_Control_Rhizosphere
TP8_Z6_fastq	TP8	RTx430	6	Drought	Rhizosphere	4	TP8_Drought_Rhizosphere
