SampleID	Timepoint	SampleType	Treatment	Rep	SampleName	Group
RD1	1	Root	Drought	1	RD1-1	TP8_Drought_Root
RD2	1	Root	Drought	2	RD1-2	TP8_Drought_Root
RD3	1	Root	Drought	3	RD1-3	TP8_Drought_Root
RW1	1	Root	Watered	1	RW1-1	TP8_Watered_Root
RW2	1	Root	Watered	2	RW1-2	TP8_Watered_Root
RW3	1	Root	Watered	3	RW1-3	TP8_Watered_Root
ZD1	1	Rhizosphere	Drought	1	ZD1-1	TP8_Drought_Rhizosphere
ZD2	1	Rhizosphere	Drought	2	ZD1-2	TP8_Drought_Rhizosphere
ZD3	1	Rhizosphere	Drought	3	ZD1-3	TP8_Drought_Rhizosphere
ZW1	1	Rhizosphere	Watered	1	ZW1-1	TP8_Watered_Rhizosphere
ZW2	1	Rhizosphere	Watered	2	ZW1-2	TP8_Watered_Rhizosphere
ZW3	1	Rhizosphere	Watered	3	ZW1-3	TP8_Watered_Rhizosphere
RD1-2	2	Root	Drought	1	RD2-1	TP24h_Drought_Root
RD2-2	2	Root	Drought	2	RD2-2	TP24h_Drought_Root
RD3-2	2	Root	Drought	3	RD2-3	TP24h_Drought_Root
RW1-2	2	Root	Watered	1	RW2-1	TP24h_Watered_Root
RW2-2	2	Root	Watered	2	RW2-2	TP24h_Watered_Root
RW3-2	2	Root	Watered	3	RW2-3	TP24h_Watered_Root
ZD1-2	2	Rhizosphere	Drought	1	ZD2-1	TP24h_Drought_Rhizosphere
ZD2-2	2	Rhizosphere	Drought	2	ZD2-2	TP24h_Drought_Rhizosphere
ZD3-2	2	Rhizosphere	Drought	3	ZD2-3	TP24h_Drought_Rhizosphere
ZW1-2	2	Rhizosphere	Watered	1	ZW2-1	TP24h_Watered_Rhizosphere
ZW2-2	2	Rhizosphere	Watered	2	ZW2-2	TP24h_Watered_Rhizosphere
ZW3-2	2	Rhizosphere	Watered	3	ZW2-3	TP24h_Watered_Rhizosphere
