sample	isolate	treatment	replicate	ANI_group	biolog	microbox_batch	shoot_freshweight_g	shoot_dryweight_g	percent_water_content
Mock_drought_1	Mock	drought	1		no	C	0.14	0.054	0.614285714
Mock_drought_2	Mock	drought	2		no	C	0.157	0.052	0.668789809
Mock_drought_3	Mock	drought	3		no	C	0.146	0.059	0.595890411
Mock_drought_4	Mock	drought	4		no	C	0.103	0.04	0.611650485
Mock_water_1	Mock	water	1		no	C	2.097	0.272	0.870290892
Mock_water_2	Mock	water	2		no	C	1.862	0.238	0.872180451
Mock_water_3	Mock	water	3		no	C	1.351	0.178	0.868245744
Mock_water_4	Mock	water	4		no	C	1.779	0.226	0.872962338
SAI001_drought_1	SAI001	drought	1	1	yes	C	0.226	0.068	0.699115044
SAI001_drought_2	SAI001	drought	2	1	yes	C	0.179	0.07	0.608938547
SAI001_drought_3	SAI001	drought	3	1	yes	C	0.172	0.069	0.598837209
SAI001_drought_4	SAI001	drought	4	1	yes	C	0.207	0.087	0.579710145
SAI001_water_1	SAI001	water	1	1	yes	C	2.652	0.333	0.874434389
SAI001_water_2	SAI001	water	2	1	yes	C	1.823	0.228	0.874931432
SAI001_water_3	SAI001	water	3	1	yes	C	2.329	0.279	0.880206097
SAI001_water_4	SAI001	water	4	1	yes	C	1.099	0.139	0.873521383
SAI025_drought_1	SAI025	drought	1	2	yes	C	0.286	0.084	0.706293706
SAI025_drought_2	SAI025	drought	2	2	yes	C	0.302	0.097	0.678807947
SAI025_drought_3	SAI025	drought	3	2	yes	C	0.221	0.078	0.647058824
SAI025_drought_4	SAI025	drought	4	2	yes	C	0.284	0.088	0.690140845
SAI025_water_1	SAI025	water	1	2	yes	C	1.542	0.199	0.870946822
SAI025_water_2	SAI025	water	2	2	yes	C	1.667	0.204	0.877624475
SAI025_water_3	SAI025	water	3	2	yes	C	1.731	0.214	0.876372039
SAI025_water_4	SAI025	water	4	2	yes	C	1.749	0.219	0.874785592
SAI041_drought_1	SAI041	drought	1	16	no	D	0.132	0.043	0.674242424
SAI041_drought_2	SAI041	drought	2	16	no	D	0.193	0.069	0.642487047
SAI041_drought_3	SAI041	drought	3	16	no	D	0.133	0.075	0.436090226
SAI041_drought_4	SAI041	drought	4	16	no	D	0.126	0.046	0.634920635
SAI041_water_1	SAI041	water	1	16	no	D	1.387	0.174	0.874549387
SAI041_water_2	SAI041	water	2	16	no	D	2.031	0.261	0.871491876
SAI041_water_3	SAI041	water	3	16	no	D	1.233	0.163	0.867802109
SAI041_water_4	SAI041	water	4	16	no	D	1.299	0.171	0.868360277
SAI055_drought_1	SAI055	drought	1	18	yes	B	0.192	0.062	0.677083333
SAI055_drought_2	SAI055	drought	2	18	yes	B	0.24	0.052	0.783333333
SAI055_drought_3	SAI055	drought	3	18	yes	B	0.203	0.046	0.773399015
SAI055_drought_4	SAI055	drought	4	18	yes	B	0.223	0.043	0.807174888
SAI055_water_1	SAI055	water	1	18	yes	B	2.452	0.297	0.878874388
SAI055_water_2	SAI055	water	2	18	yes	B	1.14	0.16	0.859649123
SAI055_water_3	SAI055	water	3	18	yes	B	2.478	0.315	0.872881356
SAI055_water_4	SAI055	water	4	18	yes	B	2.123	0.289	0.863871879
SAI069_drought_1	SAI069	drought	1	8	yes	B	0.134	0.042	0.686567164
SAI069_drought_2	SAI069	drought	2	8	yes	B	0.15	0.054	0.64
SAI069_drought_3	SAI069	drought	3	8	yes	B	0.166	0.053	0.680722892
SAI069_drought_4	SAI069	drought	4	8	yes	B	0.411	0.102	0.751824818
SAI069_water_1	SAI069	water	1	8	yes	B	2.168	0.283	0.869464945
SAI069_water_2	SAI069	water	2	8	yes	B	1.035	0.139	0.865700483
SAI069_water_3	SAI069	water	3	8	yes	B	1.851	0.243	0.868719611
SAI069_water_4	SAI069	water	4	8	yes	B	2.193	0.278	0.873233014
SAI072_drought_1	SAI072	drought	1	8	no	E	0.145	0.045	0.689655172
SAI072_drought_2	SAI072	drought	2	8	no	E	0.028	0.012	0.571428571
SAI072_drought_3	SAI072	drought	3	8	no	E	0.053	0.015	0.716981132
SAI072_drought_4	SAI072	drought	4	8	no	E	0.096	0.033	0.65625
SAI072_water_1	SAI072	water	1	8	no	E	1.986	0.214	0.89224572
SAI072_water_2	SAI072	water	2	8	no	E	1.614	0.174	0.892193309
SAI072_water_3	SAI072	water	3	8	no	E	1.829	0.206	0.887370148
SAI072_water_4	SAI072	water	4	8	no	E	1.667	0.192	0.884823035
SAI078_drought_1	SAI078	drought	1	5	yes	A	0.194	0.11	0.432989691
SAI078_drought_2	SAI078	drought	2	5	yes	A	0.242	0.132	0.454545455
SAI078_drought_3	SAI078	drought	3	5	yes	A	0.263	0.117	0.55513308
SAI078_drought_4	SAI078	drought	4	5	yes	A	0.194	0.114	0.412371134
SAI078_water_1	SAI078	water	1	5	yes	A	1.643	0.327	0.800973828
SAI078_water_2	SAI078	water	2	5	yes	A	0.902	0.193	0.786031042
SAI078_water_3	SAI078	water	3	5	yes	A	1.868	0.407	0.782119914
SAI078_water_4	SAI078	water	4	5	yes	A	1.043	0.233	0.776605944
SAI083_drought_1	SAI083	drought	1	4	no	D	0.344	0.094	0.726744186
SAI083_drought_2	SAI083	drought	2	4	no	D	0.225	0.074	0.671111111
SAI083_drought_3	SAI083	drought	3	4	no	D	0.354	0.108	0.694915254
SAI083_drought_4	SAI083	drought	4	4	no	D	0.453	0.116	0.74392936
SAI083_water_1	SAI083	water	1	4	no	D	0.954	0.139	0.854297694
SAI083_water_2	SAI083	water	2	4	no	D	1.634	0.208	0.872705018
SAI083_water_3	SAI083	water	3	4	no	D	0.905	0.134	0.851933702
SAI083_water_4	SAI083	water	4	4	no	D	0.533	0.078	0.853658537
SAI086_drought_1	SAI086	drought	1	8	no	E	0.187	0.06	0.679144385
SAI086_drought_2	SAI086	drought	2	8	no	E	0.137	0.045	0.671532847
SAI086_drought_3	SAI086	drought	3	8	no	E	0.166	0.057	0.656626506
