isolate	treatment	biolog	variable	value	value_delta
Mock	drought	no	shoot_freshweight_g	0.1365	0
Mock	drought	no	shoot_dryweight_g	0.05125	0
Mock	drought	no	pwc	62.26541048996773	0
Mock	water	no	shoot_freshweight_g	1.77225	0
Mock	water	no	shoot_dryweight_g	0.2285	0
Mock	water	no	pwc	87.09198562909266	0
SAI001	drought	yes	shoot_freshweight_g	0.196	0.0595
SAI001	drought	yes	shoot_dryweight_g	0.07350000000000001	0.022250000000000013
SAI001	drought	yes	pwc	62.16502364909207	-0.10038684087565741
SAI001	water	yes	shoot_freshweight_g	1.9757500000000001	0.20350000000000001
SAI001	water	yes	shoot_dryweight_g	0.24475000000000002	0.016250000000000014
SAI001	water	yes	pwc	87.57733252397821	0.48534689488555216
SAI025	drought	yes	shoot_freshweight_g	0.27325	0.13674999999999998
SAI025	drought	yes	shoot_dryweight_g	0.08675	0.0355
SAI025	drought	yes	pwc	68.05753304783521	5.792122557867479
SAI025	water	yes	shoot_freshweight_g	1.67225	-0.10000000000000009
SAI025	water	yes	shoot_dryweight_g	0.209	-0.019500000000000017
SAI025	water	yes	pwc	87.49322321160109	0.4012375825084291
SAI041	drought	no	shoot_freshweight_g	0.14600000000000002	0.009500000000000008
SAI041	drought	no	shoot_dryweight_g	0.058249999999999996	0.006999999999999999
SAI041	drought	no	pwc	59.69350828397734	-2.5719022059903907
SAI041	water	no	shoot_freshweight_g	1.4875	-0.28475000000000006
SAI041	water	no	shoot_dryweight_g	0.19225	-0.036250000000000004
SAI041	water	no	pwc	87.05509122260042	-0.03689440649223741
SAI055	drought	yes	shoot_freshweight_g	0.2144999999999999	0.0779999999999999
SAI055	drought	yes	shoot_dryweight_g	0.050749999999999997	-5.000000000000004e-4
SAI055	drought	yes	pwc	76.02476423343421	13.759353743466484
SAI055	water	yes	shoot_freshweight_g	2.04825	0.2759999999999998
SAI055	water	yes	shoot_dryweight_g	0.26525	0.03674999999999998
SAI055	water	yes	pwc	86.8819186602407	-0.21006696885196163
SAI069	drought	yes	shoot_freshweight_g	0.21524999999999994	0.07874999999999993
SAI069	drought	yes	shoot_dryweight_g	0.06275	0.011500000000000003
SAI069	drought	yes	pwc	68.97787183159045	6.712461341622721
SAI069	water	yes	shoot_freshweight_g	1.8117500000000002	0.03950000000000009
SAI069	water	yes	shoot_dryweight_g	0.23575000000000002	0.0072500000000000064
SAI069	water	yes	pwc	86.92795132245477	-0.16403430663788754
SAI072	drought	no	shoot_freshweight_g	0.0805	-0.05600000000000001
SAI072	drought	no	shoot_dryweight_g	0.02625	-0.024999999999999998
SAI072	drought	no	pwc	65.8578718979459	3.5924614079781705
SAI072	water	no	shoot_freshweight_g	1.774	0.0017499999999999183
SAI072	water	no	shoot_dryweight_g	0.1965	-0.032
SAI072	water	no	pwc	88.91580529012602	1.8238196610333546
SAI078	drought	yes	shoot_freshweight_g	0.22325000000000028	0.08675000000000027
SAI078	drought	yes	shoot_dryweight_g	0.11824999999999997	0.06699999999999998
SAI078	drought	yes	pwc	46.37598397839086	-15.889426511576865
SAI078	water	yes	shoot_freshweight_g	1.3639999999999999	-0.4082500000000002
SAI078	water	yes	shoot_dryweight_g	0.29000000000000015	0.06150000000000014
